Séance,AFM,AFI,GAZ,AGM,AKT,ADI,ALM,ARD,ATL,ATW,BAL,BOA,BCP,BCI,CFG,COL,NEJ,CMA,DRI,ADH,CIH,CMG,CSR,DHO,DIS,DWY,NKL,EQD,FBR,HPS,IAM,IBC,IMO,INV,JET,LBV,LES,LHM,M2M,MAB,MDP,MIC,MLE,MNG,MOX,MUT,OUL,PRO,RDS,REB,S2M,SAH,SAM,SBM,MSA,SLF,SNA,STR,TQM,TGC,TMA,UMR,WAA,ZDJ,SRM,SNP,SMI,CMT,DYT,RIS,SID,SOT,Year
2024-12-26,1124.0,305.0,3760.0,6875.0,1034.0,441.3,1440.0,481.6,127.75,574.0,220.0,198.0,285.0,578.0,219.9,53.0,65.8,1925.0,3686.0,36.7,399.9,277.0,190.0,53.06,26.25,640.0,33.89,1219.0,107.4,573.0,85.7,34.0,90.0,97.22,1752.0,4010.0,276.0,1910.0,550.0,900.0,21.4,650.0,372.0,2846.0,245.05,303.0,1233.0,910.0,76.98,102.0,242.9,1865.0,127.8,2347.0,526.0,540.0,15.94,41.5,1400.0,469.45,1500.0,170.0,4498.0,96.64,409.0,598.9,1990.0,1617.0,244.0,228.5,980.2,946.0,2024
2024-12-25,1075.0,299.0,3820.0,6875.0,1045.0,443.0,1440.0,484.0,130.0,574.0,220.0,197.0,289.95,578.0,220.0,52.9,64.35,1911.0,3686.0,36.7,395.4,273.65,190.0,53.3,26.25,630.0,33.89,1219.0,109.5,570.0,85.2,33.95,91.99,99.86,1730.0,4025.0,279.95,1941.0,534.0,900.0,21.83,631.0,372.0,2878.0,249.95,303.55,1233.0,910.0,76.66,102.0,243.0,1865.0,127.8,2349.0,525.0,549.0,15.92,44.8,1400.0,470.0,1519.0,170.0,4498.0,91.17,408.5,590.3,2035.0,1590.0,240.2,225.85,965.0,940.0,2024
2024-12-24,1130.0,300.0,3800.0,6486.0,1055.0,444.5,1404.0,484.0,128.5,571.5,220.0,196.95,290.0,578.0,220.0,52.97,65.98,1965.0,3686.0,36.9,408.0,267.0,190.8,53.3,26.25,640.0,33.89,1219.0,106.0,569.0,85.0,33.0,92.0,99.91,1760.0,4025.0,275.0,1941.0,534.0,900.0,21.84,650.0,372.0,2877.0,236.05,307.5,1233.0,910.0,77.99,102.0,238.0,1865.0,127.8,2349.0,528.0,540.0,16.0,43.0,1380.0,473.0,1500.0,170.0,4498.0,91.17,411.0,590.0,2059.0,1590.0,242.5,223.0,950.2,940.0,2024
2024-12-23,1130.0,300.0,3815.0,6486.0,1055.0,449.15,1404.0,489.0,128.0,571.6,220.0,196.0,285.2,578.0,218.0,52.97,64.25,1911.0,3686.0,37.58,405.0,272.85,191.1,52.99,26.25,640.9,33.2,1219.0,109.95,565.0,86.0,33.05,91.0,99.9,1860.0,4099.0,280.0,1960.0,534.0,900.0,21.54,650.0,372.0,2801.0,234.6,303.5,1300.0,910.0,80.0,102.0,242.95,1865.0,127.8,2300.0,528.0,557.8,16.7,44.97,1391.0,479.0,1470.0,170.0,4498.0,91.17,418.9,594.0,2059.0,1600.0,243.3,222.5,982.0,940.0,2024
2024-12-20,1130.0,300.0,3820.0,6486.0,1059.0,447.9,1403.0,485.0,128.0,575.0,220.0,192.35,285.3,578.0,214.5,52.97,66.25,1949.0,3686.0,38.0,405.0,277.4,191.0,53.99,26.25,640.9,33.85,1219.0,109.95,558.0,86.3,33.05,89.8,96.1,1800.0,4085.0,280.0,1940.0,551.9,900.0,21.6,650.0,372.0,2900.0,234.15,302.0,1300.0,950.0,79.45,102.0,240.0,1865.0,127.8,2300.0,535.0,554.0,15.76,43.0,1360.0,478.0,1500.0,170.0,4254.0,91.17,412.0,594.0,2059.0,1600.0,248.0,225.05,974.0,948.0,2024
2024-12-19,1129.0,299.1,3820.0,6486.0,1065.0,441.7,1402.0,485.0,130.0,572.5,215.5,195.0,285.3,578.0,213.0,53.0,64.74,1925.0,3686.0,37.86,404.9,275.1,190.7,54.04,26.25,640.9,33.85,1219.0,107.3,550.0,86.24,33.0,90.0,96.1,1730.0,4090.0,280.0,1947.0,551.9,900.0,21.49,650.0,370.0,2900.0,259.95,300.0,1300.0,1000.0,79.9,102.0,249.5,1865.0,127.8,2280.0,530.0,540.0,16.7,44.0,1340.0,478.0,1500.0,170.0,4250.0,91.17,412.0,580.0,2001.0,1600.0,249.0,229.5,964.0,948.0,2024
2024-12-18,1130.0,304.0,3800.0,6486.0,1053.0,441.0,1401.0,490.0,130.0,571.8,215.5,192.0,290.0,595.0,210.0,53.0,66.0,1930.0,3686.0,37.9,410.0,266.05,193.0,54.05,26.25,641.0,33.69,1219.0,110.7,557.0,86.24,33.0,90.0,98.97,1715.0,4100.0,280.0,1946.0,548.9,900.0,20.47,650.0,390.0,2795.0,259.95,299.0,1300.0,1000.0,78.86,102.0,250.0,1865.0,127.8,2346.0,529.4,558.0,16.69,44.98,1337.0,473.0,1498.0,170.0,4260.0,91.17,416.0,600.0,2050.0,1605.0,249.0,232.9,968.0,949.0,2024
2024-12-17,1130.0,298.55,3800.0,6486.0,1060.0,439.0,1401.0,494.9,131.0,572.0,215.5,192.0,292.0,580.0,210.0,51.9,66.0,1940.0,3686.0,38.05,410.0,241.9,194.0,53.5,26.25,655.9,33.5,1219.0,110.0,557.0,85.56,33.0,90.0,96.0,1680.0,4110.0,280.0,1988.0,520.1,900.0,20.48,650.0,389.0,2865.0,257.9,298.6,1300.0,1000.0,78.0,104.45,249.35,1865.0,127.8,2280.0,527.0,569.0,16.3,42.98,1330.0,475.0,1498.0,170.0,4299.0,86.01,410.0,590.0,2050.0,1635.0,249.4,230.0,960.0,947.9,2024
2024-12-16,1142.0,304.0,3848.0,6486.0,1058.0,438.9,1442.0,486.0,131.0,573.3,215.5,194.0,289.95,595.0,210.1,53.0,65.5,1936.0,3686.0,37.99,410.0,219.95,195.0,52.0,26.25,658.9,32.93,1219.0,110.0,550.2,85.25,33.1,89.99,98.99,1631.0,4150.0,272.1,1985.0,512.0,928.0,20.48,640.0,398.0,2870.0,257.9,295.0,1300.0,1000.0,80.45,104.45,242.0,1875.0,127.8,2270.0,522.0,569.0,15.5,42.0,1330.0,470.0,1468.0,170.0,4300.0,86.01,418.0,600.0,2093.0,1600.0,243.05,232.0,936.0,920.6,2024
2024-12-13,1146.0,303.45,3800.0,6486.0,1060.0,443.85,1443.0,486.1,129.0,566.0,215.5,194.4,290.1,559.0,208.0,53.0,65.98,1950.0,3686.0,38.5,412.0,,195.0,53.8,26.25,663.0,32.9,1219.0,110.0,545.0,85.1,34.5,89.99,96.07,1620.0,4150.0,272.1,1989.0,551.5,928.0,20.48,640.0,399.0,2870.0,257.9,293.0,1300.0,1000.0,78.7,104.45,249.9,1884.0,127.8,2348.0,525.5,565.0,16.49,43.9,1326.0,475.6,1490.0,171.9,4430.0,86.01,414.05,605.0,2070.0,1625.0,247.0,227.0,941.0,921.2,2024
